1 weevil detection(s) on | Sun Mar 21 18:52:39 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 42 
1 weevil detection(s) on | Sun Mar 21 18:52:40 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 43 
1 weevil detection(s) on | Sun Mar 21 18:52:41 2021 | confidence: 0.96 x=1033 y= 378 ImageNr: 44 
1 weevil detection(s) on | Sun Mar 21 18:52:42 2021 | confidence: 0.96 x=1032 y= 378 ImageNr: 45 
1 weevil detection(s) on | Sun Mar 21 18:52:43 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 46 
1 weevil detection(s) on | Sun Mar 21 18:52:44 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 47 
1 weevil detection(s) on | Sun Mar 21 18:52:45 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 48 
1 weevil detection(s) on | Sun Mar 21 18:52:46 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 49 
1 weevil detection(s) on | Sun Mar 21 19:02:25 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 2 
1 weevil detection(s) on | Sun Mar 21 19:02:27 2021 | confidence: 0.95 x=1031 y= 378 ImageNr: 3 
1 weevil detection(s) on | Sun Mar 21 19:02:27 2021 | confidence: 0.82 x=1134 y=1219 ImageNr: 4 
1 weevil detection(s) on | Sun Mar 21 19:02:28 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 5 
1 weevil detection(s) on | Sun Mar 21 19:02:29 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 6 
1 weevil detection(s) on | Sun Mar 21 19:02:29 2021 | confidence: 0.84 x=1462 y= 570 ImageNr: 7 
1 weevil detection(s) on | Sun Mar 21 19:02:30 2021 | confidence: 0.84 x= 639 y=1064 ImageNr: 8 
1 weevil detection(s) on | Sun Mar 21 19:02:30 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 9 
1 weevil detection(s) on | Sun Mar 21 19:02:31 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 10 
1 weevil detection(s) on | Sun Mar 21 19:02:32 2021 | confidence: 0.82 x= 639 y=1064 ImageNr: 11 
1 weevil detection(s) on | Sun Mar 21 19:02:32 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 12 
1 weevil detection(s) on | Sun Mar 21 19:02:33 2021 | confidence: 0.95 x=1032 y= 379 ImageNr: 13 
1 weevil detection(s) on | Sun Mar 21 19:02:34 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 14 
1 weevil detection(s) on | Sun Mar 21 19:02:35 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 15 
1 weevil detection(s) on | Sun Mar 21 19:02:36 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 16 
1 weevil detection(s) on | Sun Mar 21 19:02:37 2021 | confidence: 0.81 x= 638 y=1065 ImageNr: 17 
1 weevil detection(s) on | Sun Mar 21 19:02:37 2021 | confidence: 0.96 x=1032 y= 378 ImageNr: 18 
1 weevil detection(s) on | Sun Mar 21 19:02:38 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 19 
1 weevil detection(s) on | Sun Mar 21 19:02:39 2021 | confidence: 0.96 x=1033 y= 378 ImageNr: 20 
1 weevil detection(s) on | Sun Mar 21 19:02:40 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 21 
1 weevil detection(s) on | Sun Mar 21 19:02:41 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 22 
1 weevil detection(s) on | Sun Mar 21 19:02:42 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 23 
1 weevil detection(s) on | Sun Mar 21 19:02:42 2021 | confidence: 0.80 x=1462 y= 569 ImageNr: 24 
1 weevil detection(s) on | Sun Mar 21 19:02:43 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 25 
1 weevil detection(s) on | Sun Mar 21 19:02:44 2021 | confidence: 0.85 x= 639 y=1064 ImageNr: 26 
1 weevil detection(s) on | Sun Mar 21 19:02:45 2021 | confidence: 0.96 x=1032 y= 378 ImageNr: 27 
1 weevil detection(s) on | Sun Mar 21 19:02:46 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 28 
1 weevil detection(s) on | Sun Mar 21 19:02:47 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 29 
1 weevil detection(s) on | Sun Mar 21 19:02:48 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 30 
1 weevil detection(s) on | Sun Mar 21 19:02:49 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 31 
1 weevil detection(s) on | Sun Mar 21 19:02:50 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 32 
1 weevil detection(s) on | Sun Mar 21 19:02:51 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 33 
1 weevil detection(s) on | Sun Mar 21 19:02:52 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 34 
1 weevil detection(s) on | Sun Mar 21 19:02:53 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 35 
1 weevil detection(s) on | Sun Mar 21 19:02:54 2021 | confidence: 0.94 x=1033 y= 377 ImageNr: 36 
1 weevil detection(s) on | Sun Mar 21 19:02:55 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 37 
1 weevil detection(s) on | Sun Mar 21 19:02:56 2021 | confidence: 0.96 x=1032 y= 377 ImageNr: 38 
1 weevil detection(s) on | Sun Mar 21 19:02:56 2021 | confidence: 0.80 x=1462 y= 570 ImageNr: 39 
1 weevil detection(s) on | Sun Mar 21 19:02:57 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 40 
1 weevil detection(s) on | Sun Mar 21 19:02:58 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 41 
1 weevil detection(s) on | Sun Mar 21 19:02:58 2021 | confidence: 0.83 x=1462 y= 570 ImageNr: 42 
1 weevil detection(s) on | Sun Mar 21 19:02:59 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 43 
1 weevil detection(s) on | Sun Mar 21 19:03:00 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 44 
1 weevil detection(s) on | Sun Mar 21 19:03:01 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 45 
1 weevil detection(s) on | Sun Mar 21 19:03:02 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 46 
1 weevil detection(s) on | Sun Mar 21 19:03:03 2021 | confidence: 0.83 x= 639 y=1063 ImageNr: 47 
1 weevil detection(s) on | Sun Mar 21 19:03:03 2021 | confidence: 0.95 x=1031 y= 377 ImageNr: 48 
1 weevil detection(s) on | Sun Mar 21 19:03:04 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 49 
1 weevil detection(s) on | Sun Mar 21 19:03:05 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 50 
1 weevil detection(s) on | Sun Mar 21 19:03:06 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 51 
1 weevil detection(s) on | Sun Mar 21 19:03:07 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 52 
1 weevil detection(s) on | Sun Mar 21 19:03:08 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 53 
1 weevil detection(s) on | Sun Mar 21 19:03:09 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 54 
1 weevil detection(s) on | Sun Mar 21 19:03:10 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 55 
1 weevil detection(s) on | Sun Mar 21 19:03:11 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 56 
1 weevil detection(s) on | Sun Mar 21 19:03:12 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 57 
1 weevil detection(s) on | Sun Mar 21 19:03:13 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 58 
1 weevil detection(s) on | Sun Mar 21 19:03:15 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 59 
1 weevil detection(s) on | Sun Mar 21 19:03:16 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 60 
1 weevil detection(s) on | Sun Mar 21 19:03:17 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 61 
1 weevil detection(s) on | Sun Mar 21 19:03:18 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 62 
1 weevil detection(s) on | Sun Mar 21 19:03:19 2021 | confidence: 0.96 x=1032 y= 378 ImageNr: 63 
1 weevil detection(s) on | Sun Mar 21 19:03:20 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 64 
1 weevil detection(s) on | Sun Mar 21 19:03:21 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 65 
1 weevil detection(s) on | Sun Mar 21 19:03:22 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 66 
1 weevil detection(s) on | Sun Mar 21 19:03:23 2021 | confidence: 0.94 x=1032 y= 377 ImageNr: 67 
1 weevil detection(s) on | Sun Mar 21 19:03:24 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 68 
1 weevil detection(s) on | Sun Mar 21 19:03:25 2021 | confidence: 0.94 x=1032 y= 377 ImageNr: 69 
1 weevil detection(s) on | Sun Mar 21 19:03:26 2021 | confidence: 0.94 x=1033 y= 377 ImageNr: 70 
1 weevil detection(s) on | Sun Mar 21 19:03:27 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 71 
1 weevil detection(s) on | Sun Mar 21 19:03:28 2021 | confidence: 0.95 x=1031 y= 378 ImageNr: 72 
1 weevil detection(s) on | Sun Mar 21 19:03:29 2021 | confidence: 0.94 x=1032 y= 377 ImageNr: 73 
1 weevil detection(s) on | Sun Mar 21 19:03:30 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 74 
1 weevil detection(s) on | Sun Mar 21 19:03:31 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 75 
1 weevil detection(s) on | Sun Mar 21 19:03:32 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 76 
1 weevil detection(s) on | Sun Mar 21 19:03:33 2021 | confidence: 0.94 x=1033 y= 377 ImageNr: 77 
1 weevil detection(s) on | Sun Mar 21 19:03:34 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 78 
1 weevil detection(s) on | Sun Mar 21 19:03:35 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 79 
1 weevil detection(s) on | Sun Mar 21 19:03:36 2021 | confidence: 0.82 x= 639 y=1064 ImageNr: 80 
1 weevil detection(s) on | Sun Mar 21 19:03:36 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 81 
1 weevil detection(s) on | Sun Mar 21 19:03:37 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 82 
1 weevil detection(s) on | Sun Mar 21 19:03:38 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 83 
1 weevil detection(s) on | Sun Mar 21 19:03:39 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 84 
1 weevil detection(s) on | Sun Mar 21 19:03:40 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 85 
1 weevil detection(s) on | Sun Mar 21 19:03:41 2021 | confidence: 0.94 x=1032 y= 377 ImageNr: 86 
1 weevil detection(s) on | Sun Mar 21 19:03:42 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 87 
1 weevil detection(s) on | Sun Mar 21 19:03:42 2021 | confidence: 0.88 x=1462 y= 569 ImageNr: 88 
1 weevil detection(s) on | Sun Mar 21 19:03:43 2021 | confidence: 0.83 x= 639 y=1063 ImageNr: 89 
